tokens,labels
proposal,1
would,1
beneflt,0
the,1
1ndustry.,1
I,1
am,1
03931,0
9,1
The,1
Assnclatlon,0
proposed,1
a,1
clarlflcatlon,0
of,1
the,1
1ndustry,0
quallfld,0
expert's,1
role.,1
cm,0
offred,0
major,1
modlflcatlons,0
to,1
the,1
olymer,0
proposal.,1
The,1
Assnclatlon,0
commented,1
that,1
new,1
pol,0
er,0
materlals,0
should,1
be,1
exempt,1
from,1
the,1
full,1
PMN,1
process,1
accordlng,0
to,1
broad,1
categorles,0
based,1
on,1
average,1
molecul.r,0
welght.,0
cm:,0
de,1
sloped,0
a,1
comprehenslve,0
plan,1
to,1
portray,1
the,1
hens?,0
51::,0
of,1
the,1
proposed,1
PMN,1
exemptlon,0
rules,1
to,1
Varlous,0
audk,0
ences.,1
These,1
3,1
dlences,0
could,1
affect,1
the,1
outcome,1
of,1
the,1
flnal,0
r,1
les.,0
The,1
camalgn,0
1ncludes,0
meetlngs,0
Hlth,0
the,1
press.,1
.nd,0
dlstrlbutlng,0
a,1
comprehenslve,0
1nformatlon,0
pack*,0
age,1
to,1
"ongress,",0
trade,1
assoclatlons,0
and,1
the,1
press.,1
on,1
Nova,0
ner,0
"1,",1
cm,0
partlclpated,0
1n,0
EPA'S,1
publlc,0
hearlng,0
regardl,0
g,1
the,1
proposed,1
PMN,1
exemptlon,0
rules.,1
cm:,0
ch.1man.,0
was,1
the,1
spokesman.,1
cm,0
amp,0
aslzed,0
the,1
polnts,0
ads,1
1n,0
1::,0
comments,1
and,1
addressed,1
speclflc,0
con*,0
cerns,1
r.1sed,0
by,1
the,1
Natural,1
Resources,1
Defense,1
Councll,0
and,1
other,1
1,1
terested,0
groups.,1
on,1
Nova,0
ner.,0
"30,",1
cm,0
ﬁlled,0
comments,1
respondlng,0
m,1
speclflc,0
EPA,1
que-tlons,0
and,1
assertlons,0
made,1
by,1
publlc,0
1nterest,0
groups,1
.t,0
the,1
November,1
"1,",1
EPA,1
publlc,0
hearlng.,0
In,1
thes-,0
comment-,0
CMA,1
provlded,0
further,1
justlflcatlon,0
for,1
relaxlng,0
the,1
burensome,0
PMN,1
exemptlon,0
proposal,1
for,1
polymers.,1
cm:,0
Inomatlonal,0
Meetlng,0
am:,0
he,1
d,1
an,1
1nformatlonal,0
meetlng,0
on,1
September,1
"15,",1
ad?,0
dressln,0
the,1
proposed,1
PMN,1
exemptlon,0
rules,1
and,1
the,1
flnal,0
TSCA,1
Setlon,0
may,1
and,1
91:17,0
reportlng,0
rules.,1
Approxl,0
mately,1
0,1
people,1
attended,1
the,1
meetlng.,0
Workshov,0
on,1
Data,1
Quallty,0
Indlcators,0
The,1
61ml,0
report,1
of,1
the,1
Workshop,1
on,1
Data,1
Duallty,0
1nd1cai,0
tors,1
wa-,0
completed,1
1n,0
October.,1
cm,0
sposored,0
the,1
work?,0
shop,1
1n,0
cooperatlon,0
mm,0
the,1
Natlonal,0
Academy,1
of,1
Salem,0
"ces,",1
th-,0
Federatlon,0
of,1
Amerlcan,0
Socletles,0
for,1
Experlmeni,0
:31,0
B10,0
"oqy,",0
the,1
Natlonal,0
Bureau,1
of,1
Standards,1
and,1
the,1
Envlron,0
ental,0
Protectlon,0
Agency.,1
Copies,1
ms,0
the,1
report,1
can,1
be,1
urchased,0
for,1
$5.00,1
from,1
CMA.,1
Reportl,0
g,1
on,1
TSCA,1
Setlon,0
Rule,1
on,1
Nova,0
ner,0
"10,",1
"1932,",0
CMA,1
sent,1
a,1
letter,1
to,1
EPA,1
requestlng,0
a,1
anida,0
extenslon,0
of,1
the,1
reportlng,0
perlod,0
for,1
the,1
TSCA,1
Sectlon,0
91:17,0
rule.,1
EPA,1
slated,0
to,1
deny,1
thls,0
generlc,0
request,1
"Instead,",1
the,1
Agency,1
chose,1
to,1
conslder,0
1nd1v1dual,0
company,1
requests.,1
cm,0
the,1
encouraged,1
1::,0
member,1
compani,1
1a:,0
to,1
ubmlt,0
1nd1v1dual,0
requests,1
for,1
extenslons.,0
EPA,1
has,1
grated,0
extenslons,0
for,1
many,1
of,1
those,1
requests.,1
am,1
03932,0
cm:,0
Logikange,0
Plannlng,0
am:,0
he,1
d,1
a,1
plannlng,0
retreat,1
1n,0
November,1
1932.,0
Each,1
CR:,0
member,1
eveloped,0
lssues,0
of,1
1nterest,0
m,1
hls/her,0
company,1
regardlg,0
the,1
regulatlon,0
of,1
chemlcals,0
and,1
product,1
safety.,1
The,1
com,0
lttee,0
selected,1
the,1
lssues,0
of,1
most,1
unportance,0
m,1
the,1
1ndstry,0
and,1
the,1
Assoclatlon.,0
mm:,0
m,1
1,1
threat,1
1::,0
actlvlt,0
es,1
and,1
resources,1
to,1
address,1
those,1
lssues,0
next,1
year.,1
Impact,1
.,1
alysls,0
"Responss,",0
or,1
promlsed,0
"responses,",1
to,1
the,1
CMA,1
company,1
actlvltles,0
to,1
reduce,1
unreasonable,1
rlsk,0
about,1
1m.,0
survey,1
..n,0
now,1
tot.l,0
nght,0
..,0
Know,1
Actlvltles,0
Communly,0
"lssues,",0
the,1
last,1
1nsertlon,0
1n,0
the,1
nght,0
to,1
Know,1
Packet.,1
was,1
completed,1
December,1
"2,",1
1932.,0
The,1
ngt,0
to,1
Know,1
In,1
omatlon,0
Packet,1
15,1
belng,0
dlstrlbuted,0
to,1
state,1
and,1
local,1
Cemlcal,0
Industry,1
Counclls.,0
Conferece,0
on,1
Reproductlon,0
Rlsks,0
The,1
053,0
Commlttee,1
15,1
plannlng,0
a,1
twoiday,0
conference,1
on,1
Reprodutlve,0
Rlsks.,0
m,1
be,1
held,1
1n,0
the,1
spring,1
of,1
1933.,1
Attendace,0
Will,1
be,1
llmlted,0
to,1
CMA,1
members.,1
speaker,1
will,1
survey,1
he,1
sclentlflc,0
and,1
legal,1
framework,1
Hlthln,0
whlch,0
reprodu,0
tlve,0
rlsks,0
are,1
evaluated,1
and,1
managed.,1
Repre*,0
sentatl,0
as,1
from,1
member,1
companles,0
will,1
present,1
thelr,0
approac,0
es,1
:9,0
employee,1
relatlons,0
and,1
reproductlve,0
rlsk,0
managemnt.,0
Access,1
to,1
Employe,0
Records,1
on,1
Dcto,0
er,0
"El,",0
cm,0
testlfled,0
at,1
an,1
OSHA,1
hearlng,0
on,1
to,1
Empl-yee,0
Records,1
[47,1
PR,1
"30420,",1
Julv,1
"13,",1
19321.,0
Access,1
Perform,0
nae,0
Standards,1
A,1
model,1
balanced,1
perfomance,0
standard,1
mun,0
"training,",1
work,1
pr,1
ctlces,0
and,1
equlpment,0
requlrements),0
on,1
Suhpart,1
3,1
Hazardous,1
Materlals,0
[45,0
PR,1
391097391091,0
was,1
presented,1
:9,0
OSHA,1
on,1
October,1
"26,",1
1932.,0
Hazards,1
Communlcatlons,0
Postihe,0
ring,1
CMA,1
comments,1
to,1
DSHA'S,0
notlce,0
of,1
proposed,1
rulemak,0
mg,0
on,1
hazard,1
communlcatlons,0
were,1
submltted,0
Novembe,0
"1,",1
1932.,0
am,1
03933,0
Cancer,1
Pollcy,0
cm,0
coments,1
on,1
an,1
earlv,1
draft,1
of,1
Part,1
I,1
W,1
Natlonal,0
Cancer,1
"'ollcy,",0
from,1
the,1
Offlce,0
of,1
Sclence,0
and,1
Technology,1
Pollcy,0
oments,0
were,1
submltted,0
December,1
"3,",1
1932.,0
Over,1
all.,1
we,1
belleve,0
1:,1
15,1
an,1
excellent,1
document.,1
OSHA,1
Pr-posal,0
on,1
Benchmarks,1
for,1
State,1
v,1
ans,0
on,1
nece,0
ner,0
"5,",1
cm,0
submltted,0
comments,1
on,1
osaA's,0
proposed,1
Benchma,0
ks,0
for,1
State,1
Plans,1
[47,1
FR,1
503071.,1
Be,1
cone,1
rred,0
Hlth,0
th,1
Agency's,1
1ntent,0
to,1
11m:,0
state,1
funds,1
to,1
permit,1
state,1
a,1
forcement,0
stafflng,0
levels,1
no,1
greater,1
than,1
those,1
for,1
the,1
federal,1
government,1
1n,0
each,1
state.,1
Regulat-ry,0
Impact,1
Analysls,0
RISC,1
co,1
ented,0
on,1
the,1
technlcal,0
appendlces,0
m,1
EPA...5,0
guldell,0
as,1
for,1
regulatory,1
1mpact,0
analysls.,0
The,1
comlttee,0
encouraed,0
EPA,1
to,1
use,1
reallstlc,0
data,1
and,1
not,1
try,1
to,1
quani,0
tlfy,0
ph,0
losophlcal,0
concepts.,1
Risk/Cot,0
Pollcy,0
Model,1
RISC,1
bean,1
an,1
1nidepth,0
revlew,0
of,1
EPA'S,1
RCRA,1
rlsk/cost,0
pollcy,0
odel.,0
The,1
modl,0
15,1
1ntended,0
to,1
help,1
EPA,1
set,1
waste,1
m.nagement,0
priorities,1
and,1
select,1
strategles,0
for,1
handlln,0
waste,1
streams.,1
1310mm,0
L,1
AMP,1
ENVIRONMENTAL,1
SPECIAL,1
pmamms,0
Arsenlc,0
cm,0
rep,1
esentatlves,0
met,1
mm,0
DSBA,0
staff,1
to,1
dlscuss,0
CMA,1
plans,1
t-,0
complete,1
the,1
analysls,0
of,1
the,1
remalnlng,0
data,1
from,1
the,1
Ana,0
onda,0
smelter,1
workers,1
exposed,1
to,1
arsenlc.,0
Extend?,0
mg,0
the,1
analysls,0
would,1
1ncrease,0
conslderably,0
the,1
statlsi,0
tlcal,0
p-wer,0
of,1
the,1
earller,0
concluslon,0
that,1
there,1
15,1
no,1
1ncreasd,0
resplratory,0
cancer,1
rlsk,0
assoclated,0
mm,0
arsenlc,0
exposur,0
below,1
sun,0
"/1g/m"".",0
Impllca,0
lons,0
of,1
thls,0
finding,1
are,1
far,1
reachlng,0
as,1
1:,1
demonstrates,1
a,1
safe,1
level,1
of,1
expo*,0
sure,1
to,1
a,1
presumed,1
carclnogen.,0
cm,0
askd,0
OSHA,1
m,1
joln,0
1n,0
competlng,0
the,1
analysls,0
and,1
to,1
postpone,1
concluslon,0
of,1
the,1
1no,0
ganlc,0
arsenlc,0
standard,1
rulemaklng,0
untll,0
the,1
results,1
are,1
avaliable.,0
Benzene,1
Us,0
manu,0
acturers,0
of,1
benzene,1
have,1
completed,1
a,1
Bniday,0
benzene,1
toxlcology,0
study,1
under,1
the,1
ausplces,0
of,1
CMA,1
and,1
API.,1
A,1
raft,0
flnal,0
report,1
15,1
under,1
revlew.,0
am,1
03934,0
flutvla,0
ed,1
Hvdroxv,0
oluene,0
c,1
The,1
But,1
lated,0
Hydroxytoluene,1
(BET),0
Panel,1
declded,0
m,1
hlre,0
outslde,0
counsel,1
and,1
to,1
meet,1
mm,0
mm,0
to,1
dlscuss,0
the,1
pro*,0
posed,1
1,1
terlm,0
raglllatlon,0
on,1
BET.,0
The,1
Panl,0
and,1
counsel,1
Hill,1
met,1
Hlth,0
a,1
representatlve,0
of,1
the,1
Joint,1
mm/moy,0
Expert,1
ommlttee,0
on,1
Food,1
AddltlveS,0
(many,0
to,1
determlne,0
what,1
roe.,0
15,1
"any,",1
the,1
Panel,1
should,1
take,1
1n,0
sDonsorlna,0
researc,0
to,1
address,1
mum's,0
concerns.,1
Chlorobnzenes,0
cm,0
relased,0
a,1
flnal,0
report,1
on,1
a,1
paradlchlorobenze,0
n,1
e,1
(PDCB7,0
nhalatlon,0
teratology,1
study,1
1n,0
rabblts.,0
Exposur,0
to,1
"0,",1
"1.0,",0
"300,",1
or,1
sun,0
ppm,1
PDCB,1
was,1
not,1
embryotoxlc,0
or,1
teratognlc,0
1n,0
thls,0
specles.,0
The,1
stuy,0
was,1
the,1
last,1
1n,0
3,1
serles,0
.5,0
teratology,1
studles,0
on,1
chlorobenzenes,1
conducted,1
by,1
the,1
low,1
Toxlcology,0
Research,1
"Laboratory,",1
Epoxy,1
Rslns,0
I,1
The,1
Epo,0
y,1
Reslns,0
Program,1
Panel,1
15,1
collectlng,0
and,1
evaluati,0
mg,0
prouctlon.,0
"use,",1
"exposure,",1
envlronmental,1
release,1
and,1
health,1
ffects,0
1nformatlon,0
1n,0
order,1
to,1
work,1
Hlth,0
EPA,1
to,1
develop,1
a,1
reasonable,1
regulatory,1
response,1
to,1
the,1
ITC,1
recomme,0
datlon.,0
Ethylen,0
Dxlde,0
EPA,1
accpted,0
a,1
study,1
plan,1
for,1
Voluntary,1
testlng,0
of,1
ethylen-,0
oxlde,0
(Em.,0
so,1
15,1
1,1
eluded,0
1n,0
the,1
category,1
of,1
alkyl,1
eoxldes,0
recommended,1
by,1
the,1
ITC,1
for,1
testlng,0
under,1
TSCA,1
Se,0
tlon,0
4157.,0
The,1
stuy,0
plan,1
outllnes,0
a,1
program,1
deslgne,0
to,1
evaluate,1
posslble,0
reproductlve,0
effects,1
and,1
cytogen-tlc,0
changes,1
assoclated,0
Hlth,0
exposure,1
to,1
m.,1
OSHA,1
an,1
ounced,0
a,1
regulatory,1
schedule,1
for,1
tlon,0
m,1
h,1
oral,1
presentatlons,0
1n,0
3,1
Publlc,0
Researc,0
Group/DSHA,0
lawsult.,0
Notlce,0
.5,0
maklng,0
5,1
Scheduled,0
for,1
June,1
1933.,1
m,1
1n,0
asomr,0
Cltlzen,0
Health,1
Propose,0
Eula?,0
Fluoroc.rbons,0
The,1
Balloon,1
Intercomparlson,0
Campalgn,0
(BIC),1
1:,1
1n,0
the,1
data,1
reductl-n,0
stage,1
followlng,0
a,1
successful,1
fllght,0
1n,0
Septem*,0
her,1
199,1
of,1
four,1
large,1
balloons.,1
Th1:,0
la,1
nah,0
represented,1
nearly,1
=,1
year,1
of,1
preparatlon,0
and,1
cooperatlon,0
between,1
say,1
entlsts,0
from,1
seven,1
natlons,0
W,1
"Belglum,",0
"France,",1
"Japan,",1
England,0
"Italy,",1
Canada,1
and,1
the,1
os.,0
Fundlng,0
was,1
provlded,0
by,1
the,1
artlclpatlng,0
"countrles,",0
the,1
Natlonal,0
Aeronautlcs,0
and,1
Spa,0
e,1
"Admlnlstratlon,",0
the,1
Councll,0
of,1
European,1
Com?,0
munltle,0
and,1
CMA.,1
Plans,1
f-r,0
BIC,1
Phase,1
"II,",1
scheduled,1
for,1
1,1
c,1
1,1
am,1
03935,0
T,1
snrlng,0
"|983,",0
well,1
unerway.,0
All,1
of,1
he,1
1nvest1gators,0
from,1
51,1
I,1
Will,1
partlclpate,0
1n,0
BIC,1
"11,",1
mm,0
several,1
addltlo,0
5.,1
lecol,0
Ether:,0
Two,1
gly,0
ol,0
"ethers,",1
ethvlene,1
glvcol,1
monomethvl,1
ether,1
mcmm,0
.nd,0
ethvlene,1
glycol,1
monoethyl,1
ether,1
"(EGEE),",1
are,1
belng,0
r-Vlewed,0
by,1
EPA,1
as,1
part,1
of,1
the,1
Exlstlng,0
Chemlcals,0
Program.,1
The,1
Che,1
leals,0
are,1
at,1
the,1
mum,0
stage,1
of,1
the,1
flve*st.ge,0
revlew,0
process.,1
The,1
Pan-l,0
will,1
meet,1
mm,0
EPA,1
repress,0
tatlves,0
m,1
determlne,0
whether,1
the,1
Agency,1
needs,1
addltlo,0
51,1
data,1
that,1
the,1
Panel,1
can,1
provlde.,0
The,1
Pan-l,0
submltted,0
test,1
data,1
m,1
Callfornla,0
OSHA,1
for,1
thelr,0
u,1
a,1
1n,0
evaluatlng,0
Glycol,1
Ether,1
exposure,1
levels.,1
The,1
pan-l,0
submltted,0
comments,1
on,1
a,1
draft,1
Current,1
Intellk,0
genes,0
B,1
lletln,0
m,1
NIDSH,0
for,1
revlslon,0
before,1
the,1
flnal,0
documen,0
15,1
released.,1
The,1
Pan-l,0
submltted,0
comments,1
on,1
the,1
draft,1
Chemlcal,0
Informs,0
lon,0
Proflle,0
mum,0
on,1
EGEE,1
acetate.,1
The,1
pan-l,0
submltted,0
comments,1
on,1
One,1
rev,0
ews,0
of,1
EGEE,1
and,1
mm.,1
the,1
draft,1
Prlorlty,0
Hazard,1
Level,1
r,1
I,1
Methyle,0
edlanlllne,0
The,1
Met,0
ylenedlanlllne,0
Program,1
Panel,1
proposed,1
to,1
EPA,1
a,1
volunt.,0
y,1
testlng,0
program,1
1n,0
response,1
to,1
the,1
Interagency,1
Testln,0
Commlttee's,0
recommendatlons,0
on,1
"4,4'",1
*me,0
thylenedl,0
aniline.,1
The,1
Vol,0
ntary,0
testlng,0
program,1
1ncludes,0
reproi,0
ductlve,0
and,1
teratology,1
testlng.,0
Ketones,1
The,1
tes,0
rule,1
on,1
mesltyl,0
oxlde,0
(Mm,0
Will,1
be,1
lssued,0
1n,0
Januar,0
1,1
"993,",0
The,1
P3,0
-1,0
will,1
ask,1
EPA,1
to,1
detemlne,0
cost,1
distrlh,0
tlon,0
between,1
the,1
MD,1
manufacturers.,1
Rubber,1
ddltlves,0
The,1
R,1
ner,0
Addltlves,0
Program,1
Panel,1
has,1
developed,1
testlng,0
progr.,0
to,1
study,1
the,1
genotoxlc,1
propertles,0
of,1
two,1
rubber,1
chemlc.,0
"s,",0
2*mercaptobenzothlazole,0
and,1
2*(morphollnoth107,0
benzot,0
azole.,0
The,1
P3,0
-1,0
15,1
also,1
monltorlng,0
the,1
acmvr,0
tles,0
of,1
the,1
Natlonal,0
Toxlcology,0
Program,1
and,1
the,1
Inter*,0
agency,1
Testlng,0
Commlttee.,0
t,1
1,1
Phthal.te,0
Esters,1
The,1
Ph,0
halate,0
Esters,1
Panel,1
met,1
Hlth,0
the,1
Consumer,1
Product,1
Safety,1
Commlsslon,0
(CPscy,0
staff,1
to,1
dlscuss,0
technlcal,0
"1n,",0
accurales,0
1n,0
3,1
report,1
prepared,1
by,1
Arthur,1
D.,1
thtle,0
on,1
am,1
03035,0
the,1
us-s,0
of,1
and,1
potentlal,0
substltutes,0
for,1
phthalate,1
esters,1
1P5),0
1n,0
consumer,1
products.,1
Th1:,0
d-cument,0
was,1
releas-d,0
1n,0
Violation,0
of,1
Sectlon,0
611m,0
of,1
the,1
Consumer,1
Produc-,0
Safetv,1
Act.,1
The,1
P3,0
el,1
ﬁlled,0
comments,1
Hlth,0
CPsc's,0
penera,0
counsel,1
objectlng,0
m,1
the,1
premature,1
release.,1
The,1
Panel,1
.159,0
submltted,0
detalled,0
technlcal,0
comments,1
to,1
the,1
Econom,0
cs,0
Branch,1
of,1
CPSC.,0
The,1
P3,0
el's,0
Toxlcology,0
Research,1
Task,1
Group,1
(TRTcy,0
met,1
Hlth,0
csc,0
toxlcologlsts,0
m,1
dlscuss,0
the,1
results,1
of,1
the,1
TRTG'S,0
genotoxlclty,0
testlng,0
and,1
CPsc's,0
exposure,1
studles.,0
The,1
are,1
staff,1
will,1
prepare,1
a,1
brleflng,0
package,1
and,1
meet,1
Hlth,0
t,1
e,1
Commlssloners,0
to,1
dlscuss,0
thelr,0
project,1
on,1
PE,1
1n,0
chlldrn's,0
products.,1
The,1
P3,0
el,1
has,1
requested,1
an,1
oppori,0
tunlty,0
to,1
comment,1
on,1
the,1
brleflng,0
package,1
and,1
meet,1
mm,0
the,1
Co,1
mlssloners,0
to,1
present,1
1::,0
Vlew,0
of,1
PE,1
toxlclty.,0
The,1
P3,0
el,1
submltted,0
m,1
EPA'S,1
Test,1
Rules,1
Development,1
Branch,1
flnal,0
reports,1
on,1
Phase,1
I,1
of,1
the,1
Health,1
Effects,1
Testln,0
Program.,1
The,1
re-ults,0
of,1
the,1
research,1
indicate,1
that,1
"D'HA,",0
DEEP,0
and,1
the,1
metabolltes,0
of,1
"DEEP,",0
map,0
and,1
2733,0
as,1
not,1
genotoxlc.,0
The,1
Pael,0
submltted,0
a,1
proposal,1
effect-,0
testlng,0
on,1
PE.,1
to,1
EPA,1
for,1
Phase,1
II,1
has,1
th,1
The,1
Pael,0
met,1
mm,0
the,1
Toy,1
Manufacturer's,1
Assoclatlon,0
(mm,0
o,1
descrlhe,0
the,1
Voluntary,1
Testlng,0
Program,1
on,1
Phthai,0
late,1
Eters.,0
my:,0
eneral,0
counsel,1
had,1
recommended,1
to,1
the,1
me,1
bershlp,0
that,1
they,1
replace,1
PE,1
1n,0
chlldren's,0
produc,0
s.,1
The,1
Pond,0
and,1
Drug,1
Appllcatlons,0
Task,1
Group,1
(FDATG7,0
submlti,0
ted,1
tat,0
data,1
on,1
DEHA,1
to,1
FDA.,1
These,1
wata,0
were,1
generated,1
as,1
par,1
of,1
the,1
Voluntary,1
Test,1
Program,1
agreed,1
to,1
between,1
FDA,1
an,1
the,1
nuns.,0
Polych,0
orlnated,0
Blphenyls,0
The,1
P0,0
ychlorlnated,0
Blphenyls,0
(PC.B7,0
Program,1
Panel,1
sue?,0
cessfu,0
ly,1
convlnced,0
EPA,1
to,1
drop,1
the,1
requlrement,0
1n,0
1::,0
second,1
PCB,1
rule,1
that,1
would,1
have,1
excluded,1
only,1
processes,1
Hlth,0
n-nquantlflable,0
releases,1
of,1
PCBS.,0
EPA'S,1
1nal,0
rule,1
establshed,0
numerlcal,0
cutoffs,1
for,1
release,1
deemed,1
by,1
EPA,1
to,1
be,1
he,1
lowest,1
practlcally,0
measurable,1
level.,1
on,1
Novmber,0
"1,",1
"1932,",0
EPA,1
ﬁlled,0
Hlth,0
the,1
Us,0
Dlstrlct,0
Court,1
of,1
Appals,0
a,1
schedule,1
for,1
the,1
thlrd,0
rule,1
that,1
1ncludes,0
a,1
propos.l,0
on,1
December,1
"1,",1
"1933,",0
and,1
a,1
flnal,0
rule,1
on,1
July,1
"1,",1
cm,0
03.037,0
EPA,1
1n1cated,0
that,1
addltlonal,0
1nfomatlon,0
on,1
PCB,1
exposure,1
should,1
he,1
obtalned,0
from,1
1nterested,0
1ndustry,0
groups.,1
Styren-,0
NIDSH,0
repared,0
an,1
external,1
revlew,0
draft,1
of,1
a,1
Crlterla,0
Docume,0
t,1
on,1
Styrene.,1
In,1
the,1
"draft,",1
NIDSH,0
recommends,1
that,1
the,1
p,1
-sent,0
workplace,1
standard,1
of,1
100,1
"ppm,",1
9,1
hr.,1
tlmewelghted,0
average,1
away,1
he,1
lowered,1
to,1
25,1
"ppm,",1
10,1
hr.,1
Twa,1
",",1
Hlth,0
.,1
Ceiling,0
of,1
100,1
ppm.,1
cm,0
s,1
nmltted,0
comments,1
to,1
NIDSH,0
-n,0
December,1
"1,",1
1932.,0
Altho,0
h,1
members,1
of,1
the,1
styi,0
rene,1
P.nel,0
expressed,1
concern,1
Hlth,0
data,1
showlng,0
ans,0
dE*,0
pressl-n,0
1n,0
humans,1
at,1
100,1
"ppm,",1
the,1
llmlted,0
data,1
dld,0
not,1
suppo,0
regulatory,1
proceedlngs.,0
21m;,0
-,1
alkyldlthlophosphates,0
The,1
2,1
c,1
Dlalkyldlthlophosphates,0
12mm,0
Program,1
Panel,1
has,1
1n1t1.,0
ed,1
Phases,1
II,1
and,1
III,1
of,1
a,1
research,1
program.,1
Phase,1
II,1
15,1
a,1
'stress',1
study,1
1n,0
rabblts,0
deslgned,0
to,1
evaluate,1
the,1
r-le,0
of,1
stress,1
1n,0
produclng,0
testlcular,0
effects,1
1n,0
rabbl,0
5.,1
Phase,1
III,1
conslsts,0
of,1
Ln,0
Vltro,0
mutagenlclty,0
testl,0
g,1
of,1
several,1
ZDDPS.,0
am,1
cm,0
n,1
3039,0
EXHIBIT,1
0,1
ammu-,0
017,0
THE,1
DIRECTOR,1
OF,1
GOVERNMENT,1
RELATIONS,1
WILL]:,0
M.,1
STDVER,0
TAXATION;,1
TAX,1
A,1
-,1
BUDGET,1
DEVELOPMENTS,1
Follo,0
mg,0
the,1
November,1
mlditerm,0
Congresslonal,0
electlons.,0
Presldent,0
Reaga,0
sought,1
to,1
regaln,0
leglslatlve,0
momentum,1
1n,0
Washlngton,0
by,1
returnlng,0
to,1
th,1
area,1
of,1
tax,1
and,1
budget,1
lssues,0
where,1
he,1
had,1
won,1
substantlal,0
Vlctorles,0
durln-,0
ms,0
flrst,0
19,1
months,1
1n,0
offlce.,0
In,1
an,1
effort,1
to,1
restore,1
publlc,0
enthuslasm,0
for,1
his,1
economc,0
"program,",1
the,1
Pesldent,0
proposed,1
to,1
accelerate,1
the,1
scheduled,1
thlrd,0
year,1
1nd1v1dual,0
tax,1
r.te,0
cut,1
from,1
July,1
to,1
January,1
of,1
1933.,1
"However,",1
strong,1
early,1
Harnlngs,0
from,1
'epubllcan,0
Leaders,1
on,1
Capltol,0
3111,0
convlnced,0
mm,0
that,1
he,1
dld,0
not,1
have,1
the,1
Vtes,0
to,1
support,1
such,1
a,1
step.,1
Congresslonal,0
concern,1
over,1
rlslng,0
unemp,0
oyment,0
and,1
Federal,1
deficit,1
flgures,0
cast,1
serlous,0
doubt,1
on,1
whether,1
any,1
tax,1
pogram,0
could,1
be,1
passed,1
1n,0
the,1
postielectlon,0
Speclal,0
Sesslon.,0
The,1
Pesldent,0
also,1
moved,1
to,1
demonstrate,1
his,1
concern,1
over,1
unemployment,1
and,1
t,1
e,1
Admlnlstratlon's,0
wllllngness,0
to,1
develop,1
an,1
effectlve,0
jobs,1
program.,1
Sensl,0
L;,0
that,1
the,1
hlghway,0
program,1
was,1
the,1
only,1
avaliable,0
leglslatlve,0
Vehlcle,0
that,1
ould,0
be,1
passed,1
1n,0
the,1
postielectlon,0
"sesslon,",0
the,1
Presldent,0
threw,1
the,1
full,1
eight,1
of,1
ms,0
offlce,0
behlnd,0
the,1
Transportatlon,0
Department's,1
proposal,1
to,1
exend,0
the,1
nghway,0
Trust,1
Fund,1
and,1
to,1
1ncrease,0
the,1
Federal,1
exclse,0
tax,1
on,1
gasol,0
he,1
by,1
5,1
cents,1
a,1
gallon,1
7,1
these,1
revenues,1
1ntended,0
to,1
complete,1
and,1
re*,0
bulld,0
the,1
natlon's,0
brldges,0
and,1
hlghways.,0
on,1
December,1
"a,",1
the,1
House,1
passed,1
the,1
Au,0
1n15tratlon's,0
proposal,1
mm,0
relatlvely,0
few,1
changes,1
and,1
Senate,1
approval,1
was,1
a,1
pected,1
to,1
"follow,",1
but,1
not,1
wlthout,0
a,1
flght.,0
TAXAT,0
ow;,0
ursc,0
u,1
DER,0
REVIEW,1
Behlnw,0
the,1
"scenes,",1
the,1
Admlnlstratlon,0
was,1
confrontlng,0
another,1
major,1
lssue,0
of,1
tax,1
and,1
trade,1
pollcy.,0
In,1
early,1
"September,",1
the,1
v.5.,0
Trade,1
Ambassador's,1
offlc,0
represented,1
before,1
the,1
GATT,1
Councll,0
1n,0
Geneva,1
that,1
the,1
Admlnlstratlon,0
would,1
1ntroduce,0
leglslatlon,0
to,1
meet,1
the,1
objectlons,0
m,1
the,1
Domestlc,0
Interi,0
natlo,0
51,1
Sales,1
Corporatlon,0
mrscy,0
provlslons,0
of,1
the,1
Internal,1
Revenue,1
Coda,1
Volce,0
by,1
European,1
and,1
Canadlan,0
members.,1
1:,1
Ha,1
reported,1
that,1
1n,0
the,1
meetlng,0
of,1
th,1
Admlnlstratlon's,0
Cablnet,0
Councll,0
just,1
before,1
Thanksglvlng,0
there,1
were,1
stron,0
dlfferences,0
over,1
the,1
proper,1
scope,1
of,1
any,1
leglslatlon,0
to,1
amend,1
or,1
m,1
repla,0
e,1
the,1
arse,0
provlslons.,0
Trade,1
Ambassador,1
Brock,1
and,1
Commerce,1
Secretary,1
Baldr,0
dge,0
strongly,1
supported,1
maintaining,1
v.5.,0
tax,1
1ncent1ves,0
for,1
trade,1
51m11.r,0
to,1
ursc.,0
Equally,1
strong,1
1n,0
thelr,0
opposltlon,0
to,1
ms:,0
and,1
any,1
contlnued,0
tax,1
5,1
pport,0
for,1
Amerlcan,0
exports,1
were,1
Treasury,1
Secretary,1
Regan,1
and,1
Budget,1
Dlrec,0
or,1
stockman.,1
In,1
nu,0
of,1
thls,0
"dlsagreement,",0
the,1
Cablnet,0
Councll,0
deferred,1
takln,0
flnal,0
actlon,0
on,1
thls,0
issue.,1
cm,0
name,1
Throuhout,0
tha,1
fall.,1
busmess,0
representatlves,0
1n,0
Washlngton,0
have,1
moved,1
